histogram
0
0
0
0
0
0
0
0
15
2
5
7
8
3
0
0
0
0
1
1
5
9
8
6
3
0
2
3
6
4
6
5
5
7
7
7
6
11
7
8
6
2
9
4
3
7
4
5
2
3
1
5
11
5
2
6
0
1
6
4
4
6
8
5
2
3
5
4
3
2
6
4
4
3
5
6
0
2
4
0
2
3
2
3
2
3
5
1
2
2
0
1
0
0
3
1
3
1
2
2
3
2
2
0
0
2
0
0
0
3
0
1
0
1
1
0
0
0
1
3
2
2
1
0
0
1
0
0
0
0
0
2
0
1
0
2
0
0
1
1
0
1
0
0
1
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0
1
0
2
0
0
0
1
0
1
0
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
1
0
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
